County,County Sum,Bachmann,Cain,Gingrich,Huntsman,Paul,Perry,Roemer,Romney,Santorum,Total,Bachmann,Cain,Gingrich,Huntsman,Paul,Perry,Roemer,Romney,Santorum,Running Total,Bachmann,Cain,Gingrich,Huntsman,Paul,Perry,Roemer,Romney,Santorum,Sum %
Adams,181,9,0,24,0,55,14,0,32,47,181,9,0,24,0,55,14,0,32,47,181,5.0%,0.0%,13.3%,0.0%,30.4%,7.7%,0.0%,17.7%,26.0%,100.0%
Ringgold,180,5,0,35,1,23,28,0,26,62,180,14,0,59,1,78,42,0,58,109,361,3.9%,0.0%,16.3%,0.3%,21.6%,11.6%,0.0%,16.1%,30.2%,100.0%
Worth,188,18,0,30,3,31,26,0,34,46,188,32,0,89,4,109,68,0,92,155,549,5.8%,0.0%,16.2%,0.7%,19.9%,12.4%,0.0%,16.8%,28.2%,100.0%
Audubon,223,17,0,32,0,41,31,0,48,54,223,49,0,121,4,150,99,0,140,209,772,6.3%,0.0%,15.7%,0.5%,19.4%,12.8%,0.0%,18.1%,27.1%,100.0%
Emmet,233,43,0,26,0,35,38,0,33,58,233,92,0,147,4,185,137,0,173,267,1005,9.2%,0.0%,14.6%,0.4%,18.4%,13.6%,0.0%,17.2%,26.6%,100.0%
Taylor,232,7,0,25,0,28,82,0,44,46,232,99,0,172,4,213,219,0,217,313,1237,8.0%,0.0%,13.9%,0.3%,17.2%,17.7%,0.0%,17.5%,25.3%,100.0%
Fremont,244,36,0,41,2,33,15,0,59,58,244,135,0,213,6,246,234,0,276,371,1481,9.1%,0.0%,14.4%,0.4%,16.6%,15.8%,0.0%,18.6%,25.1%,100.0%
Wayne,262,23,0,22,2,45,61,0,37,72,262,158,0,235,8,291,295,0,313,443,1743,9.1%,0.0%,13.5%,0.5%,16.7%,16.9%,0.0%,18.0%,25.4%,100.0%
Monroe,267,16,2,46,1,43,47,0,28,84,267,174,2,281,9,334,342,0,341,527,2010,8.7%,0.1%,14.0%,0.4%,16.6%,17.0%,0.0%,17.0%,26.2%,100.0%
Adair,269,26,0,44,1,42,47,0,43,66,269,200,2,325,10,376,389,0,384,593,2279,8.8%,0.1%,14.3%,0.4%,16.5%,17.1%,0.0%,16.8%,26.0%,100.0%
Howard,274,39,0,26,0,34,16,0,51,108,274,239,2,351,10,410,405,0,435,701,2553,9.4%,0.1%,13.7%,0.4%,16.1%,15.9%,0.0%,17.0%,27.5%,100.0%
Palo Alto,274,12,0,52,1,53,38,0,48,70,274,251,2,403,11,463,443,0,483,771,2827,8.9%,0.1%,14.3%,0.4%,16.4%,15.7%,0.0%,17.1%,27.3%,100.0%
Osceola,277,20,1,30,2,78,17,0,48,81,277,271,3,433,13,541,460,0,531,852,3104,8.7%,0.1%,13.9%,0.4%,17.4%,14.8%,0.0%,17.1%,27.4%,100.0%
Davis,296,25,0,35,0,79,39,0,18,100,296,296,3,468,13,620,499,0,549,952,3400,8.7%,0.1%,13.8%,0.4%,18.2%,14.7%,0.0%,16.1%,28.0%,100.0%
Ida,308,12,0,48,1,47,49,0,46,105,308,308,3,516,14,667,548,0,595,1057,3708,8.3%,0.1%,13.9%,0.4%,18.0%,14.8%,0.0%,16.0%,28.5%,100.0%
